page_id,title,pagerank,rank,percentile,in_degree,out_degree
48361,Geographic_coordinate_system,0.0020895280160827126,1,1.0,1256079,226
23538754,Wayback_Machine,0.0015850929253187398,2,0.9999998603500773,676042,147
3434750,United_States,0.0007123569828586746,3,0.9999997207001544,421947,1840
35412202,Wikidata,0.0006365236983800853,4,0.9999995810502317,496940,150
30890,Time_zone,0.0006143814677417586,5,0.9999994414003088,453366,865
30463,Taxonomy_(biology),0.0005987713914716242,6,0.9999993017503861,494759,349
2987862,Global_Biodiversity_Information_Facility,0.000480424724428718,7,0.9999991621004634,462729,23
10568,Association_football,0.00042540590486989436,8,0.9999990224505405,250386,1110
30680,The_New_York_Times,0.00040697313583117496,9,0.9999988828006178,178844,1046
11039790,Animal,0.00040615590139053524,10,0.9999987431506949,374129,783
10593560,Catalogue_of_Life,0.0003826271002868052,11,0.9999986035007722,367607,23
47926198,Open_Tree_of_Life,0.00037465932469120654,12,0.9999984638508495,397874,7
31717,United_Kingdom,0.0003704822699847721,13,0.9999983242009266,205927,1748
39736,Binomial_nomenclature,0.000365403016206397,14,0.9999981845510039,389758,197
32927,World_War_II,0.00036092441422140825,15,0.999998044901081,192837,1633
5843419,France,0.0003576872149222557,16,0.9999979052511583,265113,1594
23996,Political_party,0.0003509614387107479,17,0.9999977656012355,192843,642
72243,Surname,0.0003488226238268386,18,0.9999976259513127,163384,501
47548,Daylight_saving_time,0.00034434105481396653,19,0.99999748630139,273645,388
998826,Wikispecies,0.00033552773744206603,20,0.9999973466514672,266766,84
11143173,Encyclopedia_of_Life,0.00032819531575995105,21,0.9999972070015444,274566,122
11867,Germany,0.00032583759326664105,22,0.9999970673516216,213072,1052
14533,India,0.00031310030242784743,23,0.9999969277016988,184359,1528
59339836,Interim_Register_of_Marine_and_Nonmarine_Genera,0.0003072046851668942,24,0.999996788051776,312701,37
4689264,Australia,0.00029147345109613646,25,0.9999966484018533,189105,1056
247991,Given_name,0.0002860981543014484,26,0.9999965087519305,109410,473
5042916,Canada,0.00027294742075658013,27,0.9999963691020077,165440,1277
14532,Italy,0.00027065163162672576,28,0.9999962294520849,188861,1448
645042,New_York_City,0.00026747867798591896,29,0.9999960898021621,141349,2397
40178883,INaturalist,0.00026741996102764545,30,0.9999959501522394,295053,105
19827221,Arthropod,0.0002615496987736557,31,0.9999958105023166,240131,655
147101,Record_label,0.0002525175848098023,32,0.9999956708523938,241043,338
25391,Russia,0.0002454541045625813,33,0.999995531202471,164247,2102
15573,Japan,0.00024445838356963766,34,0.9999953915525482,168449,1245
9316,England,0.0002444424580486486,35,0.9999952519026255,154506,1601
17867,London,0.00024342566150722632,36,0.9999951122527027,130501,1849
23366462,Insect,0.00023798989406546267,37,0.9999949726027799,213109,584
22936,Poland,0.00023795296141833556,38,0.9999948329528571,159765,1410
149306,National_Center_for_Biotechnology_Information,0.00023548833697594043,39,0.9999946933029343,237010,121
68253,List_of_sovereign_states,0.00022873588000451358,40,0.9999945536530116,161438,767
12653094,Music_genre,0.00022786902671098283,41,0.9999944140030887,220682,499
19344515,The_Guardian,0.00022783255238351745,42,0.999994274353166,103710,1019
26667,Spain,0.00022682002826551005,43,0.9999941347032432,162027,1118
5405,China,0.0002227668295079526,44,0.9999939950533204,140897,2061
25431,Russian_language,0.00022180837217830352,45,0.9999938554033977,105966,1416
8569916,English_language,0.0002136098688661722,46,0.9999937157534748,66710,967
18935551,Public_domain,0.00020459460371318779,47,0.9999935761035521,94309,371
21148,Netherlands,0.00019726092458754858,48,0.9999934364536293,129181,1100
53207,Record_producer,0.0001941308244697225,49,0.9999932968037065,199225,698
442816,Integrated_Taxonomic_Information_System,0.0001941229129207087,50,0.9999931571537838,174059,32
3383,Brazil,0.0001909236038138501,51,0.9999930175038609,130912,1298
4764461,World_War_I,0.0001898246120992641,52,0.9999928778539382,96291,1089
8166296,Synonym_(taxonomy),0.00018261761549372932,53,0.9999927382040155,183046,58
5058739,Sweden,0.0001815275529832062,54,0.9999925985540926,120896,1120
10597,French_language,0.0001741793200283564,55,0.9999924589041699,56442,1132
242819,Alma_mater,0.00017215676228325125,56,0.999992319254247,106582,58
40917007,Sports_Reference,0.00016108926665652764,57,0.9999921796043243,71999,24
22989,Paris,0.0001605826579208145,58,0.9999920399544016,78888,1608
26779,Soviet_Union,0.00015974458890479745,59,0.9999919003044787,90450,1569
11884,German_language,0.00015931544324638666,60,0.999991760654556,65043,954
26748,Switzerland,0.00015919342676033537,61,0.9999916210046331,107071,991
18618239,U.S._state,0.00015887401903741583,62,0.9999914813547104,107342,858
21780446,Species,0.00015887195341912058,63,0.9999913417047877,76819,670
525730,Central_European_Time,0.00015834591346525534,64,0.9999912020548648,134734,167
3343,Belgium,0.00015816939797041543,65,0.9999910624049421,97614,1017
176931,Internet_Archive,0.00015668600215262282,66,0.9999909227550192,47716,546
3966054,Mexico,0.0001534440049992755,67,0.9999907831050965,92113,1022
11125639,Turkey,0.00015223505887353704,68,0.9999906434551737,99706,1379
21241,Norway,0.00014935523954780384,69,0.9999905038052509,85144,1166
548981,Midfielder,0.00014880198001008722,70,0.9999903641553282,116103,271
922843,Central_European_Summer_Time,0.00014767823492353588,71,0.9999902245054053,131235,64
528282,Album,0.00014740654325633433,72,0.9999900848554826,125868,669
5407,California,0.0001470334421908312,73,0.9999899452055598,88936,2211
420342,Wikisource,0.00014434511513656073,74,0.999989805555637,35759,203
19936286,Bill_Mallon,0.00014306849104758597,75,0.9999896659057143,59023,21
